pgx:icdot-C00-C14	LIP, ORAL CAVITY AND PHARYNX	0	1
pgx:icdot-C00	LIP	1	2
pgx:icdot-C00.0	External upper lip	2	3
pgx:icdot-C00.1	External lower lip	2	4
pgx:icdot-C00.2	External lip, NOS	2	5
pgx:icdot-C00.3	Mucosa of upper lip	2	6
pgx:icdot-C00.4	Mucosa of lower lip	2	7
pgx:icdot-C00.5	Mucosa of lip, NOS	2	8
pgx:icdot-C00.6	Commissure of lip	2	9
pgx:icdot-C00.8	Overlapping lesion of lip	2	10
pgx:icdot-C00.9	Lip, NOS	2	11
pgx:icdot-C01	BASE OF TONGUE	1	12
pgx:icdot-C01.9	Base of tongue, NOS	2	13
pgx:icdot-C02	OTHER AND UNSPECIFIED PARTS OF TONGUE	1	14
pgx:icdot-C02.0	Dorsal surface of tongue, NOS	2	15
pgx:icdot-C02.1	Border of tongue	2	16
pgx:icdot-C02.2	Ventral surface of tongue, NOS	2	17
pgx:icdot-C02.3	Anterior 2/3 of tongue, NOS	2	18
pgx:icdot-C02.4	Lingual tonsil	2	19
pgx:icdot-C02.8	Overlapping lesion of tongue	2	20
pgx:icdot-C02.9	Tongue, NOS	2	21
pgx:icdot-C03	GUM	1	22
pgx:icdot-C03.0	Upper gum	2	23
pgx:icdot-C03.1	Lower gum	2	24
pgx:icdot-C03.9	Gum, NOS	2	25
pgx:icdot-C04	FLOOR OF MOUTH	1	26
pgx:icdot-C04.0	Anterior floor of mouth	2	27
pgx:icdot-C04.1	Lateral floor of mouth	2	28
pgx:icdot-C04.8	Overlapping lesion of floor of mouth	2	29
pgx:icdot-C04.9	Floor of mouth, NOS	2	30
pgx:icdot-C05	PALATE	1	31
pgx:icdot-C05.0	Hard palate	2	32
pgx:icdot-C05.1	Soft palate, NOS	2	33
pgx:icdot-C05.2	Uvula	2	34
pgx:icdot-C05.8	Overlapping lesion of palate	2	35
pgx:icdot-C05.9	Palate, NOS	2	36
pgx:icdot-C06	OTHER AND UNSPECIFIED PARTS OF MOUTH	1	37
pgx:icdot-C06.0	Cheek mucosa	2	38
pgx:icdot-C06.1	Vestibule of mouth	2	39
pgx:icdot-C06.2	Retromolar area	2	40
pgx:icdot-C06.8	Overlapping lesion of other and unspecified parts of mouth	2	41
pgx:icdot-C06.9	Mouth, NOS	2	42
pgx:icdot-C07	PAROTID GLAND	1	43
pgx:icdot-C07.9	Parotid gland	2	44
pgx:icdot-C08	OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS	1	45
pgx:icdot-C08.0	Submandibular gland	2	46
pgx:icdot-C08.1	Sublingual gland	2	47
pgx:icdot-C08.8	Overlapping lesion of major salivary glands	2	48
pgx:icdot-C08.9	Major salivary gland, NOS	2	49
pgx:icdot-C09	TONSIL	1	50
pgx:icdot-C09.0	Tonsillar fossa	2	51
pgx:icdot-C09.1	Tonsillar pillar	2	52
pgx:icdot-C09.8	Overlapping lesion of tonsil	2	53
pgx:icdot-C09.9	Tonsil, NOS	2	54
pgx:icdot-C10	OROPHARYNX	1	55
pgx:icdot-C10.0	Vallecula	2	56
pgx:icdot-C10.1	Anterior surface of epiglottis	2	57
pgx:icdot-C10.2	Lateral wall of oropharynx	2	58
pgx:icdot-C10.3	Posterior wall of oropharynx	2	59
pgx:icdot-C10.4	Branchial cleft	2	60
pgx:icdot-C10.8	Overlapping lesion of oropharynx	2	61
pgx:icdot-C10.9	Oropharynx, NOS	2	62
pgx:icdot-C11	NASOPHARYNX	1	63
pgx:icdot-C11.0	Superior wall of nasopharynx	2	64
pgx:icdot-C11.1	Posterior wall of nasopharynx	2	65
pgx:icdot-C11.2	Lateral wall of nasopharynx	2	66
pgx:icdot-C11.3	Anterior wall of nasopharynx	2	67
pgx:icdot-C11.8	Overlapping lesion of nasopharynx	2	68
pgx:icdot-C11.9	Nasopharynx, NOS	2	69
pgx:icdot-C12	PYRIFORM SINUS	1	70
pgx:icdot-C12.9	Pyriform sinus	2	71
pgx:icdot-C13	HYPOPHARYNX	1	72
pgx:icdot-C13.0	Postcricoid region	2	73
pgx:icdot-C13.1	Hypopharyngeal aspect of aryepiglottic fold	2	74
pgx:icdot-C13.2	Posterior wall of hypopharynx	2	75
pgx:icdot-C13.8	Overlapping lesion of hypopharynx	2	76
pgx:icdot-C13.9	Hypopharynx, NOS	2	77
pgx:icdot-C14	OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX	1	78
pgx:icdot-C14.0	Pharynx, NOS	2	79
pgx:icdot-C14.2	Waldeyer ring	2	80
pgx:icdot-C14.8	Overlapping lesion of lip, oral cavity and pharynx	2	81
